Node_ID	Description	Family	Colour (Family)
CP023686	Zymomonas mobilis subsp. mobilis	Unclassified	#D3D3D3
GU339467	Mycobacterium phage RedRock	Unclassified	#D3D3D3
MF417929	Uncultured Caudovirales phage clone 2F_1	Peduoviridae	#82F680
MH616963	crAssphage sp. isolate ctbg_1	Intestiviridae	#261AE4
MH552500	crAssphage sp. isolate ctcc615	Intestiviridae	#261AE4
BK010471	Carjivirus communis	Intestiviridae	#261AE4
AC171169	Escherichia phage H8	Demerecviridae	#4A8041
LR797314	uncultured Caudovirales phage	Unclassified	#D3D3D3
MW175890	Dompiswa phage TSP7_1	Unclassified	#D3D3D3
KT997847	uncultured phage_Deep1-GF2-KM23-C739	Autographiviridae	#537AB6
AP013549	uncultured phage_MedDCM-OCT-S39-C11	Autographiviridae	#537AB6
AP013548	uncultured phage_MedDCM-OCT-S38-C3	Autographiviridae	#537AB6
AP013547	uncultured phage_MedDCM-OCT-S31-C1	Autographiviridae	#537AB6
AP013546	uncultured phage_MedDCM-OCT-S37-C6	Autographiviridae	#537AB6
AP013545	uncultured phage_MedDCM-OCT-S46-C10	Autographiviridae	#537AB6
AP013544	uncultured phage_MedDCM-OCT-S45-C18	Autographiviridae	#537AB6
AP013543	uncultured phage_MedDCM-OCT-S30-C28	Autographiviridae	#537AB6
AP013542	uncultured phage_MedDCM-OCT-S35-C6	Autographiviridae	#537AB6
AP013541	uncultured phage_MedDCM-OCT-S42-C7	Autographiviridae	#537AB6
AP013540	uncultured phage_MedDCM-OCT-S28-C10	Autographiviridae	#537AB6
AP013539	uncultured phage_MedDCM-OCT-S28-C3	Autographiviridae	#537AB6
AP013538	uncultured phage_MedDCM-OCT-S45-C4	Autographiviridae	#537AB6
CP052639	Klebsiella pneumoniae	Unclassified	#D3D3D3
LR756511	uncultured phage	Unclassified	#D3D3D3
LR756508	uncultured phage	Unclassified	#D3D3D3
LR756504	uncultured phage	Unclassified	#D3D3D3
LR756503	uncultured phage	Unclassified	#D3D3D3
LR756502	uncultured phage	Unclassified	#D3D3D3
LR756501	uncultured phage	Unclassified	#D3D3D3
LR756500	uncultured phage	Unclassified	#D3D3D3
LR745208	uncultured phage	Unclassified	#D3D3D3
LR745206	uncultured phage	Unclassified	#D3D3D3
AY576273	Alphaproteobacteria phage PhiJL001	Mesyanzhinovviridae	#60C341
MN335248	Vibrio phage XacF13	Inoviridae	#3A6237
CP023680	Zymomonas mobilis subsp. mobilis	Unclassified	#D3D3D3
CP038625	Arsenophonus nasoniae	Unclassified	#D3D3D3
MK250029	Prevotella phage Lak-C1	Unclassified	#D3D3D3
MK250028	Prevotella phage Lak-B9	Unclassified	#D3D3D3
MK250027	Prevotella phage Lak-B8	Unclassified	#D3D3D3
MK250026	Prevotella phage Lak-B7	Unclassified	#D3D3D3
MK250025	Prevotella phage Lak-B6	Unclassified	#D3D3D3
MK250024	Prevotella phage Lak-B5	Unclassified	#D3D3D3
MK250023	Prevotella phage Lak-B4	Unclassified	#D3D3D3
MK250022	Prevotella phage Lak-B3	Unclassified	#D3D3D3
MK250021	Prevotella phage Lak-B2	Unclassified	#D3D3D3
MK250020	Prevotella phage Lak-B1	Unclassified	#D3D3D3
MK250019	Prevotella phage Lak-A2	Unclassified	#D3D3D3
MK250018	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250017	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250016	Prevotella phage Lak-A1	Unclassified	#D3D3D3
MK250015	Prevotella phage Lak-A1	Unclassified	#D3D3D3
KX397280	Phage MedPE-SWcel-C56	Autographiviridae	#537AB6
AY319521	synthetic construct	Unclassified	#D3D3D3
CP019275	Escherichia coli	Unclassified	#D3D3D3
MG592615	Vibrio phage 1.249.A._10N.261.55.B9	Autolykiviridae	#9EBB66
MG592455	Vibrio phage 1.080.O._10N.286.48.A4	Autolykiviridae	#9EBB66
MG592427	Vibrio phage 1.044.O._10N.261.51.B8	Autolykiviridae	#9EBB66
MG592402	Vibrio phage 1.020.O._10N.222.48.A2	Autolykiviridae	#9EBB66
MG592394	Vibrio phage 1.008.O._10N.286.54.E5	Autolykiviridae	#9EBB66
MF361639	Flavobacterium phage FLiP	Finnlakeviridae	#B08016
FPLJ01000048	Moritella viscosa	Unclassified	#D3D3D3
CP006891	Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	Unclassified	#D3D3D3
AF143772	Mycobacterium avium	Unclassified	#D3D3D3
GU943031	uncultured phage MedDCM-OCT-S08-C159	Autographiviridae	#537AB6
CP014526	Haematospirillum jordaniae	Unclassified	#D3D3D3
JX625144	Enterobacteria phage M	Fiersviridae	#E343E3
HM208303	Escherichia phage vB_EcoP_24B	Unclassified	#D3D3D3
HQ633062	Synechococcus phage S-CBP3	Autographiviridae	#537AB6
AGRM01000002	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unclassified	#D3D3D3
AGRM01000003	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unclassified	#D3D3D3
AGRM01000004	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unclassified	#D3D3D3
AGRM01000005	Salmonella enterica subsp. houtenae str. ATCC BAA-1581	Unclassified	#D3D3D3
AFYI01000001	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000003	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000004	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000005	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000006	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AFYI01000007	Salmonella enterica subsp. enterica serovar Infantis str. SARB27	Unclassified	#D3D3D3
AB571791	Salmonella enterica subsp. enterica serovar Typhimurium	Unclassified	#D3D3D3
HM066936	Caulobacter phage phiCb5	Steitzviridae	#0F25C3
GU943068	uncultured phage MedDCM-OCT-S05-C849	Autographiviridae	#537AB6
GU943054	uncultured phage MedDCM-OCT-S04-C24	Autographiviridae	#537AB6
AF334111	Acinetobacter phage AP205	Duinviridae	#BCDE67
AF059242	Escherichia phage Qbeta	Fiersviridae	#E343E3
DQ836063	Pseudomonas phage PRR1	Fiersviridae	#E343E3
OR453399	Staphylococcus phage J4	Herelleviridae	#9DCE6A
OR453398	Staphylococcus phage J2	Herelleviridae	#9DCE6A
OR453397	Staphylococcus phage J1	Herelleviridae	#9DCE6A
OR777152	Arthrobacter phage Cupello	Unclassified	#D3D3D3
OR777151	Arthrobacter phage Marchesin	Unclassified	#D3D3D3
OR420753	Pelagibacter phage HTVC041P	Autographiviridae	#537AB6
OR420749	Methylophilales phage MEP434	Autographiviridae	#537AB6
OR420741	Roseobacter phage CRP-118	Autographiviridae	#537AB6
OR354861	Staphylococcus phage S-CoN_Ph38	Unclassified	#D3D3D3
OR354860	Staphylococcus phage S-CoN_Ph37	Unclassified	#D3D3D3
OR354859	Staphylococcus phage S-CoN_Ph36	Unclassified	#D3D3D3
OR354858	Staphylococcus phage S-CoN_Ph35	Unclassified	#D3D3D3
OR354857	Staphylococcus phage S-CoN_Ph34	Unclassified	#D3D3D3
OR354856	Staphylococcus phage S-CoN_Ph33	Unclassified	#D3D3D3
OR354855	Staphylococcus phage S-CoN_Ph32	Unclassified	#D3D3D3
OR354854	Staphylococcus phage S-CoN_Ph31	Unclassified	#D3D3D3
OR354853	Staphylococcus phage S-CoN_Ph30	Unclassified	#D3D3D3
OR354852	Staphylococcus phage S-CoN_Ph29	Unclassified	#D3D3D3
OR354851	Staphylococcus phage S-CoN_Ph28	Unclassified	#D3D3D3
OR354850	Staphylococcus phage S-CoN_Ph27	Unclassified	#D3D3D3
OR354849	Staphylococcus phage S-CoN_Ph26	Unclassified	#D3D3D3
OR354848	Staphylococcus phage S-CoN_Ph25	Unclassified	#D3D3D3
OR354847	Staphylococcus phage S-CoN_Ph24	Unclassified	#D3D3D3
OR354846	Staphylococcus phage S-CoN_Ph23	Unclassified	#D3D3D3
OR354845	Staphylococcus phage S-CoN_Ph22	Unclassified	#D3D3D3
OR354844	Staphylococcus phage S-CoN_Ph21	Unclassified	#D3D3D3
OR354843	Staphylococcus phage S-CoN_Ph20	Unclassified	#D3D3D3
OR354842	Staphylococcus phage S-CoN_Ph19	Unclassified	#D3D3D3
OR354841	Staphylococcus phage S-CoN_Ph18	Unclassified	#D3D3D3
OR354840	Staphylococcus phage S-CoN_Ph17	Unclassified	#D3D3D3
OR354839	Staphylococcus phage S-CoN_Ph16	Unclassified	#D3D3D3
OR354838	Staphylococcus phage S-CoN_Ph15	Unclassified	#D3D3D3
OR354837	Staphylococcus phage S-CoN_Ph14	Unclassified	#D3D3D3
OR354836	Staphylococcus phage S-CoN_Ph13	Unclassified	#D3D3D3
OR354835	Staphylococcus phage S-CoN_Ph12	Unclassified	#D3D3D3
OR354834	Staphylococcus phage S-CoN_Ph11	Unclassified	#D3D3D3
OR354833	Staphylococcus phage S-CoN_Ph10	Unclassified	#D3D3D3
OR354832	Staphylococcus phage S-CoN_Ph9	Unclassified	#D3D3D3
OR354831	Staphylococcus phage S-CoN_Ph8	Unclassified	#D3D3D3
OR354830	Staphylococcus phage S-CoN_Ph7	Unclassified	#D3D3D3
OR354829	Staphylococcus phage S-CoN_Ph6	Unclassified	#D3D3D3
OR354828	Staphylococcus phage S-CoN_Ph5	Unclassified	#D3D3D3
OR354827	Staphylococcus phage S-CoN_Ph4	Unclassified	#D3D3D3
OR354826	Staphylococcus phage S-CoN_Ph3	Unclassified	#D3D3D3
OR354825	Staphylococcus phage S-CoN_Ph2	Unclassified	#D3D3D3
OR354824	Staphylococcus phage S-CoN_Ph1	Unclassified	#D3D3D3
OR354823	Staphylococcus phage Alsa_4	Unclassified	#D3D3D3
OR354822	Staphylococcus phage Alsa_3	Unclassified	#D3D3D3
OR354821	Staphylococcus phage Alsa_2	Unclassified	#D3D3D3
OR354820	Staphylococcus phage Alsa_1	Unclassified	#D3D3D3
OQ689084	Klebsiella phage vB_KpnA_SCNJ1-Z	Unclassified	#D3D3D3
OQ689083	Klebsiella phage vB_KpnM_SCNJ1-Y	Unclassified	#D3D3D3
OQ718882	Klebsiella phage vB_KpnS_SCNJ1-C	Unclassified	#D3D3D3
ON524870	Pseudomonas phage vB_PaeM_RP14	Unclassified	#D3D3D3
ON524869	Pseudomonas phage vB_PaeM_RP13	Unclassified	#D3D3D3
ON524868	Pseudomonas phage vB_PaeM_RP12	Unclassified	#D3D3D3
ON524867	Pseudomonas phage vB_PaeM_RP11	Unclassified	#D3D3D3
ON524866	Pseudomonas phage vB_PaeM_RP10	Unclassified	#D3D3D3
ON524865	Pseudomonas phage vB_PaeM_RP9	Unclassified	#D3D3D3
ON524864	Pseudomonas phage vB_PaeM_RP8	Unclassified	#D3D3D3
ON524863	Pseudomonas phage vB_PaeM_RP7	Unclassified	#D3D3D3
ON524862	Pseudomonas phage vB_PaeM_RP6	Unclassified	#D3D3D3
ON524861	Pseudomonas phage vB_PaeM_RP15	Unclassified	#D3D3D3
OR526523	Acinetobacter phage vB_AbaM_AB3P2	Unclassified	#D3D3D3
OR670591	Staphylococcus phage MVC_VPHSA1	Unclassified	#D3D3D3
BK063464	Mushuvirus mushu	Unclassified	#D3D3D3
OQ079412	Pseudomonas phage phi C106	Unclassified	#D3D3D3
OQ079410	Pseudomonas phage phi 21A	Unclassified	#D3D3D3
OP810509	Sulfurimonas phage SNW-1	Unclassified	#D3D3D3
OL778852	Spiroplasma phage NSRO_Contig_RIP	Unclassified	#D3D3D3
OP594723	Salmonella phage PS3-1	Unclassified	#D3D3D3
OP380607	Aeromonas phage avDM11-UST	Unclassified	#D3D3D3
OP380606	Aeromonas phage avDM2	Unclassified	#D3D3D3
OP380605	Aeromonas phage avDM2	Unclassified	#D3D3D3
OP380604	Aeromonas phage avDM12-TAAL	Unclassified	#D3D3D3
OP380603	Aeromonas phage avDM9-HANS	Unclassified	#D3D3D3
OP380602	Aeromonas phage avDM5	Unclassified	#D3D3D3
OP380601	Aeromonas phage avDM6	Unclassified	#D3D3D3
OP380600	Aeromonas phage avDM7-IJDJ	Unclassified	#D3D3D3
OP380599	Aeromonas phage avDM10-HWA	Unclassified	#D3D3D3
OP380598	Aeromonas phage avDM14-QBC	Unclassified	#D3D3D3
OP380597	Aeromonas phage UP87	Unclassified	#D3D3D3
OP380596	Aeromonas phage avDM4	Unclassified	#D3D3D3
OP380595	Aeromonas phage avDM3	Unclassified	#D3D3D3
OP380594	Aeromonas phage B614	Unclassified	#D3D3D3
CP111102	Escherichia phage EDL933-Stx	Unclassified	#D3D3D3
OR544125	Acinetobacter phage vB_AbaM_AB4P2	Unclassified	#D3D3D3
OR496884	Aeromonas phage AerS_266	Unclassified	#D3D3D3
OR683508	Pseudomonas phage Ppu-503	Casjensviridae	#CF770A
OR729839	Stenotrophomonas phage StenM_174	Unclassified	#D3D3D3
OR651770	Salmonella phage vB_SenM_C12	Unclassified	#D3D3D3
OR767160	Escherichia phage vB-EcoS-XT34	Unclassified	#D3D3D3
OR757436	Escherichia phage vB-EcoP-XT73	Unclassified	#D3D3D3
OR757435	Escherichia phage vB-EcoP-XT32	Unclassified	#D3D3D3
OR757434	Escherichia phage vB-EcoP-XT18	Unclassified	#D3D3D3
OR513906	Staphylococcus phage vB_SauH-Mpol	Herelleviridae	#9DCE6A
OR513905	Staphylococcus phage vB_SauH-H33	Herelleviridae	#9DCE6A
OR513904	Staphylococcus phage vB_SauH-Ge	Herelleviridae	#9DCE6A
OR513903	Staphylococcus phage vB_Sau_191	Herelleviridae	#9DCE6A
OR805297	Pseudomonas phage Knedl	Unclassified	#D3D3D3
OR805296	Pseudomonas phage Victoria	Unclassified	#D3D3D3
OR805295	Pseudomonas phage Paride	Unclassified	#D3D3D3
OR805294	Pseudomonas phage Ettore	Unclassified	#D3D3D3
OR805293	Pseudomonas phage Deifobo	Unclassified	#D3D3D3
OR805292	Pseudomonas phage Cassandra	Unclassified	#D3D3D3
OR805291	Pseudomonas phage Aergia	Unclassified	#D3D3D3
OR352959	Escherichia phage AV129	Unclassified	#D3D3D3
OR352958	Escherichia phage AV128	Unclassified	#D3D3D3
OR352957	Escherichia phage AV127	Unclassified	#D3D3D3
OR352956	Escherichia phage AV126	Unclassified	#D3D3D3
OR352955	Escherichia phage AV125	Unclassified	#D3D3D3
OR352954	Escherichia phage AV124	Unclassified	#D3D3D3
OR352953	Escherichia phage AV123	Unclassified	#D3D3D3
OR352952	Escherichia phage AV122	Unclassified	#D3D3D3
OR352951	Escherichia phage AV121	Unclassified	#D3D3D3
OR352950	Escherichia phage AV120	Unclassified	#D3D3D3
OR352949	Escherichia phage AV119	Unclassified	#D3D3D3
OR352948	Escherichia phage AV118	Unclassified	#D3D3D3
OR352947	Escherichia phage AV117	Unclassified	#D3D3D3
OR352946	Escherichia phage AV116	Unclassified	#D3D3D3
OR352945	Escherichia phage AV115	Unclassified	#D3D3D3
OR352944	Escherichia phage AV114	Unclassified	#D3D3D3
OR352943	Escherichia phage AV113	Unclassified	#D3D3D3
OR352942	Escherichia phage AV112	Unclassified	#D3D3D3
OR352941	Escherichia phage AV111	Unclassified	#D3D3D3
OR352940	Escherichia phage AV110	Unclassified	#D3D3D3
OR352939	Escherichia phage AV109	Unclassified	#D3D3D3
OR352938	Escherichia phage AV108	Unclassified	#D3D3D3
OR352937	Escherichia phage AV106	Unclassified	#D3D3D3
OR352936	Escherichia phage AV105	Unclassified	#D3D3D3
OR352935	Escherichia phage AV104	Unclassified	#D3D3D3
OR352934	Escherichia phage AV103	Unclassified	#D3D3D3
OR352933	Escherichia phage AV102	Unclassified	#D3D3D3
OR786310	Escherichia phage ETEC-TG	Unclassified	#D3D3D3
OR699283	Salmonella phage BAU.Micro_SLP-22	Unclassified	#D3D3D3
OR699282	Escherichia phage BAU.Micro_ELP-22	Unclassified	#D3D3D3
OR544956	Escherichia phage vB_EcoM_EP57	Unclassified	#D3D3D3
OR544955	Escherichia phage vB_EcoP_EP32B	Unclassified	#D3D3D3
OR544954	Escherichia phage vB_EcoM_EP32a	Unclassified	#D3D3D3
OR424386	Escherichia phage vB-Eco-KMB25	Unclassified	#D3D3D3
OR424385	Escherichia phage vB-Eco-KMB47	Unclassified	#D3D3D3
OR424384	Escherichia phage vB-Eco-KMB14	Unclassified	#D3D3D3
OQ953986	Pseudomonas phage phiPstE	Unclassified	#D3D3D3
OR699188	Salmonella phage SD-15_S21	Unclassified	#D3D3D3
OR699187	Salmonella phage SD-14_S20	Unclassified	#D3D3D3
OR699186	Salmonella phage SD-13_S19	Unclassified	#D3D3D3
OR699185	Salmonella phage SD-12_S18	Unclassified	#D3D3D3
OR699184	Salmonella phage SD-11_S17	Unclassified	#D3D3D3
OR699183	Salmonella phage SD-1_S14	Unclassified	#D3D3D3
OR699182	Salmonella phage SD-6_S16	Unclassified	#D3D3D3
OR699181	Salmonella phage SD-2_S15	Unclassified	#D3D3D3
OR757454	Escherichia phage BYEP02	Unclassified	#D3D3D3
OR757453	Escherichia phage BYEP01	Unclassified	#D3D3D3
OR464144	Salmonella phage CRW-SP6	Demerecviridae	#4A8041
OR464143	Salmonella phage CRW-SP5	Demerecviridae	#4A8041
OR464142	Salmonella phage CRW-SP4	Autographiviridae	#537AB6
OR464141	Salmonella phage CRW-SP3	Autographiviridae	#537AB6
OR464140	Salmonella phage CRW-SP2	Ackermannviridae	#CC60C5
OR464139	Salmonella phage CRW-SP1	Autographiviridae	#537AB6
OR539221	Escherichia phage vB-Eco-KMB42	Unclassified	#D3D3D3
OR539220	Escherichia phage vB-Eco-KMB40	Unclassified	#D3D3D3
OR539219	Escherichia phage vB-Eco-KMB39	Unclassified	#D3D3D3
OR539218	Escherichia phage vB-Eco-KMB26	Unclassified	#D3D3D3
OR539217	Escherichia phage vB-Eco-KMB22	Unclassified	#D3D3D3
OR539216	Escherichia phage vB-Eco-KMB41	Unclassified	#D3D3D3
OR242317	Salmonella phage RA148	Unclassified	#D3D3D3
OR242316	Salmonella phage RA140	Unclassified	#D3D3D3
OR242315	Salmonella phage RA114	Unclassified	#D3D3D3
OR242314	Salmonella phage RA112	Unclassified	#D3D3D3
OR242313	Salmonella phage RA40	Unclassified	#D3D3D3
OQ828465	Pseudomonas phage PA_ZH1	Unclassified	#D3D3D3
OQ828464	Pseudomonas phage PA_CQ9	Unclassified	#D3D3D3
OQ828463	Pseudomonas phage PA_GL1	Unclassified	#D3D3D3
OQ828462	Acinetobacter phage AB_SZL4	Unclassified	#D3D3D3
OR513095	Salmonella phage STP-SP9	Demerecviridae	#4A8041
OR513094	Salmonella phage STP-SP8	Autographiviridae	#537AB6
OR513093	Salmonella phage STP-SP7	Autographiviridae	#537AB6
OR498733	Salmonella phage STP-SP6	Autographiviridae	#537AB6
OR498732	Salmonella phage STP-SP5	Unclassified	#D3D3D3
OR498731	Salmonella phage STP-SP4	Autographiviridae	#537AB6
OR485019	Salmonella phage STP-SP3	Autographiviridae	#537AB6
OR485018	Salmonella phage STP-SP2	Demerecviridae	#4A8041
OR485017	Salmonella phage STP-SP1	Autographiviridae	#537AB6
OR290783	Salmonella phage PRF-SP6	Autographiviridae	#537AB6
OR290782	Salmonella phage PRF-SP8	Autographiviridae	#537AB6
OR290781	Salmonella phage PRF-SP7	Autographiviridae	#537AB6
OR786374	Sinorhizobium phage StopSmel	Unclassified	#D3D3D3
OR786373	Sinorhizobium phage Aussie	Unclassified	#D3D3D3
OR786095	Staphylococcus phage MBBL139	Unclassified	#D3D3D3
OR786094	Streptococcus phage MBBL140	Unclassified	#D3D3D3
OR769032	Escherichia phage JoYop	Unclassified	#D3D3D3
OR769031	Escherichia phage Carena	Unclassified	#D3D3D3
OR668231	Streptomyces phage Psst4	Unclassified	#D3D3D3
OR668230	Streptomyces phage Psst2	Unclassified	#D3D3D3
OR668229	Streptomyces phage Psst1	Unclassified	#D3D3D3
OR791114	Pseudoalteromonas phage vB_PalP_Y7	Unclassified	#D3D3D3
OR762784	Vibrio phage L9-1	Unclassified	#D3D3D3
OR820920	Bacillus phage vB_BpuM-ZY1	Unclassified	#D3D3D3
OR645408	Klebsiella phage 515	Autographiviridae	#537AB6
OR756449	Salmonella phage vB_SalD_ABTNLS3	Unclassified	#D3D3D3
OR726634	Vibrio phage VP17802	Unclassified	#D3D3D3
OR666137	Klebsiella phage KP17	Unclassified	#D3D3D3
OR644643	Klebsiella phage Kp11	Autographiviridae	#537AB6
OR500437	Pseudomonas phage vB_PF_Y1-MI	Unclassified	#D3D3D3
OR767211	Enterococcus phage EF-M80	Unclassified	#D3D3D3
OR529409	Stenotrophomonas phage BUCTxx100	Unclassified	#D3D3D3
OR529408	Stenotrophomonas phage BUCTxx99	Unclassified	#D3D3D3
OR188767	Acinetobacter phage BUCTT20	Unclassified	#D3D3D3
OR188766	Acinetobacter phage BUCTT11	Unclassified	#D3D3D3
OR354876	Klebsiella phage ValerieMcCarty02	Straboviridae	#5F3A91
OR354875	Klebsiella phage ValerieMcCarty01	Straboviridae	#5F3A91
OR354874	Klebsiella phage ValerieMcCarty05	Straboviridae	#5F3A91
OR756193	Escherichia phage vB_EcoS-EE09	Unclassified	#D3D3D3
OR495701	Staphylococcus phage CUB-M	Unclassified	#D3D3D3
OR495700	Staphylococcus phage CUB-B	Unclassified	#D3D3D3
OR495699	Staphylococcus phage CUB-A	Unclassified	#D3D3D3
OR287812	Klebsiella phage PEA128	Autographiviridae	#537AB6
OR639934	Klebsiella phage vB_KpnP_KpV763	Autographiviridae	#537AB6
OR287811	Klebsiella phage VSG32	Autographiviridae	#537AB6
OR287810	Klebsiella phage NNA-G4	Autographiviridae	#537AB6
OR287809	Klebsiella phage SAA231	Autographiviridae	#537AB6
OR287808	Klebsiella phage NKA196	Autographiviridae	#537AB6
OR287807	Klebsiella phage VKV295	Autographiviridae	#537AB6
OR287806	Klebsiella phage Rappa3	Autographiviridae	#537AB6
OR287805	Klebsiella phage SEA1f	Autographiviridae	#537AB6
OR287804	Klebsiella phage ChM-G5	Autographiviridae	#537AB6
OR508996	Enterobacter phage Mulvp2	Unclassified	#D3D3D3
OP374082	Haloarchaeal virus HJTV-4	Unclassified	#D3D3D3
OP374081	Haloterrigena jeotgali icosahedral virus 1	Simuloviridae	#59EE6F
OR122686	Salmonella phage vB_SenM-AKM_CE	Unclassified	#D3D3D3
OR723929	Vibrio phage vB_VpaP_SJSY21	Autographiviridae	#537AB6
OR733342	Pseudomonas phage vB_PA_16c	Unclassified	#D3D3D3
OR776998	Escherichia phage 2307YX22	Unclassified	#D3D3D3
OR684907	Klebsiella phage ph168	Autographiviridae	#537AB6
OR770614	Staphylococcus phage vB_StaM_PB50	Unclassified	#D3D3D3
OR780565	Escherichia phage DCP2	Unclassified	#D3D3D3
OR734989	Vibrio phage vB_VpP_1	Unclassified	#D3D3D3
OR730450	Acinetobacter phage HZY2308	Unclassified	#D3D3D3
OR689712	Pseudomonas phage vB_Pae_PLY	Autographiviridae	#537AB6
OQ953987	Pseudomonas phage phiPstEGF	Unclassified	#D3D3D3
OQ953985	Pseudomonas phage phiPst2111	Unclassified	#D3D3D3
OR795024	Aeromonas phage vB_AhydM-H1	Unclassified	#D3D3D3
OR662133	Vibrio phage vB_VpaS_SD15	Unclassified	#D3D3D3
OR509663	Bacillus phage vB_BanS-A16R1	Unclassified	#D3D3D3
OR509662	Bacillus phage vB_BanS-A16R4	Unclassified	#D3D3D3
OR762182	Halorubrum virus V_ICIS4	Unclassified	#D3D3D3
OR725497	Streptomyces phage LuckySocke	Unclassified	#D3D3D3
OR725496	Mycobacterium phage Cullens	Unclassified	#D3D3D3
OR725495	Mycobacterium phage Pembroke	Unclassified	#D3D3D3
OR725494	Mycobacterium phage Rummer	Unclassified	#D3D3D3
OR725493	Streptomyces phage Spelly	Unclassified	#D3D3D3
OR725492	Streptomyces phage Alone3	Unclassified	#D3D3D3
OR725491	Mycobacterium phage LBerry	Unclassified	#D3D3D3
OR725490	Gordonia phage LuckyLeo	Unclassified	#D3D3D3
OR725489	Gordonia phage RayTheFireFly	Unclassified	#D3D3D3
OR813930	Mycobacterium phage WXIN	Unclassified	#D3D3D3
OR791786	Escherichia phage Copypasta	Inoviridae	#3A6237
OR797478	Enterococcus phage G01	Unclassified	#D3D3D3
OR780021	Clostridium phage XP41-N3	Unclassified	#D3D3D3
LC788711	Escherichia coli phage NG_S8	Unclassified	#D3D3D3
LC788710	Escherichia coli phage Wa28	Unclassified	#D3D3D3
LC788709	Escherichia coli phage Shin27	Unclassified	#D3D3D3
LC788708	Escherichia coli phage AZ21	Unclassified	#D3D3D3
LC788707	Escherichia coli phage AZ23	Unclassified	#D3D3D3
LC788706	Escherichia coli phage KS_S14	Unclassified	#D3D3D3
LC788705	Escherichia coli phage NG_A1	Unclassified	#D3D3D3
LC788704	Staphylococcus phage phiSNIID	Unclassified	#D3D3D3
LC788703	Staphylococcus phage phiRNIID	Unclassified	#D3D3D3
OR791690	Escherichia phage Ecolipha-JLYS-2023	Unclassified	#D3D3D3
OR733708	Pseudomonas phage BL2	Unclassified	#D3D3D3
OR733707	Pseudomonas phage BL1	Unclassified	#D3D3D3
OR733709	Pseudomonas phage BL3	Unclassified	#D3D3D3
OR770645	Acinetobacter phage Abgy2021-4-1	Unclassified	#D3D3D3
OR770644	Acinetobacter phage Abgy2021-6-2	Unclassified	#D3D3D3
OR754315	Stutzerimonas phage vB_SstS_STP9	Unclassified	#D3D3D3
OR754314	Pseudomonas phage vB_PmeS_STP12	Unclassified	#D3D3D3
OR754313	Stutzerimonas phage vB_SstS_STP9	Unclassified	#D3D3D3
OR725122	Bacillus phage BC-VP	Herelleviridae	#9DCE6A
OR687644	Salmonella phage PC79-13	Unclassified	#D3D3D3
OR611155	Staphylococcus phage vB_SauM-V1SA12	Herelleviridae	#9DCE6A
OR683639	Staphylococcus phage vB_SauR_SW21	Rountreeviridae	#ED1918
OR762047	Enterococcus phage SAM-E.f 12	Unclassified	#D3D3D3
OR670592	Staphylococcus phage MVC_VPHSA2	Unclassified	#D3D3D3
MT360680	Klebsiella virus 2019KP1	Autographiviridae	#537AB6
MZ570582	Staphylococcus phage SAP_1432	Unclassified	#D3D3D3
OR799564	Shigella phage VIT_AJPSC	Unclassified	#D3D3D3
OQ921331	Escherichia phage vB_EcoP_PAS7	Autographiviridae	#537AB6
OR113390	Clostridium phage vB_CtyS-FA70	Unclassified	#D3D3D3
OR113389	Clostridium phage vB_CtyS-FA67	Unclassified	#D3D3D3
OR113388	Clostridium phage vB_CtyS-FA88	Unclassified	#D3D3D3
OR660046	Acinetobacter phage YZ2	Autographiviridae	#537AB6
OP940114	Staphylococcus phage vB_SauM_VL10	Herelleviridae	#9DCE6A
OR687155	Pseudomonas phage PIP	Unclassified	#D3D3D3
OR142618	Pseudomonas phage Callisto	Unclassified	#D3D3D3
MG999954	Enterobacter phage myPSH1140	Straboviridae	#5F3A91
OR420755	Roseobacter phage CRP-113	Autographiviridae	#537AB6
OR420754	Pelagibacter phage HTVC142P	Autographiviridae	#537AB6
OR420752	Roseobacter phage CRP-403	Autographiviridae	#537AB6
OR420751	Pelagibacter phage HTVC309P	Autographiviridae	#537AB6
OR420750	Roseobacter phage CRP-361	Autographiviridae	#537AB6
OR420748	Roseobacter phage CRP-143	Autographiviridae	#537AB6
OR420747	Methylophilales phage MEP433	Autographiviridae	#537AB6
OR420746	Roseobacter phage CRP-227	Autographiviridae	#537AB6
OR420745	Pelagibacter phage HTVC048P	Autographiviridae	#537AB6
OR420744	Pelagibacter phage HTVC134P	Autographiviridae	#537AB6
OR420743	Roseobacter phage CRP-125	Autographiviridae	#537AB6
